datetime	theta25	theta45	theta75
2019-07-03T01:15:00Z	0.095	0.093	0.094
2019-07-03T01:30:00Z	0.093	0.09	0.091
2019-07-03T01:45:00Z	0.096	0.093	0.085
2019-07-03T02:00:00Z	0.097	0.09	0.091
2019-07-03T02:15:00Z	0.095	0.09	0.093
2019-07-03T02:30:00Z	0.097	0.092	0.097
2019-07-03T02:45:00Z	0.096	0.092	0.091
2019-07-03T03:00:00Z	0.097	0.092	0.09
2019-07-03T03:15:00Z	0.099	0.089	0.09
2019-07-03T03:30:00Z	0.096	0.094	0.092
2019-07-03T03:45:00Z	0.095	0.093	0.095
2019-07-03T04:00:00Z	0.094	0.093	0.096
2019-07-03T04:15:00Z	0.095	0.095	0.092
2019-07-03T04:30:00Z	0.097	0.094	0.094
2019-07-03T04:45:00Z	0.097	0.091	0.092
2019-07-03T05:00:00Z	0.095	0.093	0.089
2019-07-03T05:15:00Z	0.095	0.092	0.086
2019-07-03T05:30:00Z	0.095	0.093	0.09
2019-07-03T05:45:00Z	0.093	0.089	0.099
2019-07-03T06:00:00Z	0.095	0.093	0.09
2019-07-03T06:15:00Z	0.096	0.094	0.085
2019-07-03T06:30:00Z	0.095	0.093	0.086
2019-07-03T06:45:00Z	0.094	0.093	0.087
2019-07-03T07:00:00Z	0.1	0.093	0.088
2019-07-03T07:15:00Z	0.093	0.093	0.085
2019-07-03T07:30:00Z	0.097	0.095	0.092
2019-07-03T07:45:00Z	0.095	0.092	0.086
2019-07-03T08:00:00Z	0.092	0.09	0.092
2019-07-03T08:15:00Z	0.093	0.091	0.084
2019-07-03T08:30:00Z	0.098	0.087	NA
2019-07-03T08:45:00Z	0.094	0.091	0.086
2019-07-03T09:00:00Z	0.1	0.087	0.09
2019-07-03T09:15:00Z	0.098	0.095	0.093
2019-07-03T09:30:00Z	0.097	0.091	NA
2019-07-03T09:45:00Z	0.095	0.091	0.088
2019-07-03T10:00:00Z	0.097	0.095	0.086
2019-07-03T10:15:00Z	0.097	0.093	0.087
2019-07-03T10:30:00Z	0.098	0.089	0.097
2019-07-03T10:45:00Z	0.093	0.094	0.098
2019-07-03T11:00:00Z	0.098	0.096	NA
2019-07-03T11:15:00Z	0.098	0.096	0.087
2019-07-03T11:30:00Z	0.092	0.091	0.099
2019-07-03T11:45:00Z	0.1	0.097	NA
2019-07-03T12:00:00Z	0.096	0.092	NA
2019-07-03T12:15:00Z	0.098	0.089	0.094
2019-07-03T12:30:00Z	0.101	0.092	NA
2019-07-03T12:45:00Z	0.101	0.088	NA
2019-07-03T13:00:00Z	0.096	0.09	0.093
2019-07-03T13:15:00Z	0.098	0.094	0.093
2019-07-03T13:30:00Z	0.091	0.092	0.094
2019-07-03T13:45:00Z	0.099	0.093	0.092
2019-07-03T14:00:00Z	0.097	0.09	0.094
2019-07-03T14:15:00Z	0.091	0.088	NA
2019-07-03T14:30:00Z	0.09	0.095	0.089
2019-07-03T14:45:00Z	0.097	0.089	0.086
2019-07-03T15:00:00Z	0.091	0.094	0.088
2019-07-03T15:15:00Z	0.093	0.09	0.091
2019-07-03T15:30:00Z	0.092	0.094	0.091
2019-07-03T15:45:00Z	0.091	0.089	0.098
2019-07-03T16:00:00Z	0.097	0.091	NA
2019-07-03T16:15:00Z	0.098	0.093	0.088
2019-07-03T16:30:00Z	0.094	0.093	0.089
2019-07-03T16:45:00Z	0.097	0.091	0.094
2019-07-03T17:00:00Z	0.094	0.088	0.088
2019-07-03T17:15:00Z	0.094	0.089	0.095
2019-07-03T17:30:00Z	0.098	0.093	0.093
2019-07-03T17:45:00Z	0.095	0.09	0.09
2019-07-03T18:00:00Z	0.098	0.087	0.097
2019-07-03T18:15:00Z	0.095	0.094	0.08
2019-07-03T18:30:00Z	0.093	0.094	0.089
2019-07-03T18:45:00Z	0.098	0.095	NA
2019-07-03T19:00:00Z	0.094	0.09	0.091
2019-07-03T19:15:00Z	0.096	0.095	0.09
2019-07-03T19:30:00Z	0.09	0.09	0.089
2019-07-03T19:45:00Z	0.092	0.089	0.084
2019-07-03T20:00:00Z	0.09	0.091	0.093
2019-07-03T20:15:00Z	0.09	0.089	0.088
2019-07-03T20:30:00Z	0.094	0.094	0.088
2019-07-03T20:45:00Z	0.089	0.092	0.088
2019-07-03T21:00:00Z	0.093	0.091	0.089
2019-07-03T21:15:00Z	0.097	0.09	0.088
2019-07-03T21:30:00Z	0.095	0.091	0.093
2019-07-03T21:45:00Z	0.095	0.092	0.092
2019-07-03T22:00:00Z	0.092	0.097	0.091
2019-07-03T22:15:00Z	0.097	0.091	0.091
2019-07-03T22:30:00Z	0.093	0.092	0.086
2019-07-03T22:45:00Z	0.093	0.09	0.088
2019-07-03T23:00:00Z	0.094	0.089	0.09
2019-07-03T23:15:00Z	0.092	0.09	0.087
2019-07-03T23:30:00Z	0.094	0.093	0.091
2019-07-03T23:45:00Z	0.091	0.09	0.088
2019-07-04T00:00:00Z	NA	NA	NA
2019-07-04T00:15:00Z	0.095	0.09	0.087
2019-07-04T00:30:00Z	0.094	0.089	0.092
2019-07-04T00:45:00Z	0.093	0.091	0.093
2019-07-04T01:00:00Z	0.097	0.09	0.087
2019-07-04T01:15:00Z	0.098	0.093	0.094
2019-07-04T01:30:00Z	0.095	0.092	0.091
2019-07-04T01:45:00Z	0.09	0.091	0.088
2019-07-04T02:00:00Z	0.095	0.091	0.086
2019-07-04T02:15:00Z	0.096	0.092	0.089
2019-07-04T02:30:00Z	0.096	0.093	0.091
2019-07-04T02:45:00Z	0.095	0.094	0.097
2019-07-04T03:00:00Z	0.093	0.092	0.093
2019-07-04T03:15:00Z	0.094	0.088	0.096
2019-07-04T03:30:00Z	0.097	0.093	0.091
2019-07-04T03:45:00Z	0.093	0.095	0.09
2019-07-04T04:00:00Z	0.098	0.091	0.09
2019-07-04T04:15:00Z	0.095	0.094	0.091
2019-07-04T04:30:00Z	0.096	0.095	0.096
2019-07-04T04:45:00Z	0.096	0.092	0.092
2019-07-04T05:00:00Z	0.093	0.091	0.097
2019-07-04T05:15:00Z	0.096	0.088	0.086
2019-07-04T05:30:00Z	0.092	0.094	0.085
2019-07-04T05:45:00Z	0.096	0.09	0.086
2019-07-04T06:00:00Z	0.098	0.09	0.088
2019-07-04T06:15:00Z	0.092	0.09	0.089
2019-07-04T06:30:00Z	0.095	0.092	0.085
2019-07-04T06:45:00Z	0.093	0.094	0.089
2019-07-04T07:00:00Z	0.093	0.091	0.093
2019-07-04T07:15:00Z	0.095	0.091	0.086
2019-07-04T07:30:00Z	0.096	0.089	0.09
2019-07-04T07:45:00Z	0.096	0.089	0.088
2019-07-04T08:00:00Z	0.096	0.089	0.084
2019-07-04T08:15:00Z	0.094	0.089	0.089
2019-07-04T08:30:00Z	0.096	0.095	0.093
2019-07-04T08:45:00Z	0.095	0.092	0.093
2019-07-04T09:00:00Z	0.095	0.086	NA
2019-07-04T09:15:00Z	0.094	0.094	0.095
2019-07-04T09:30:00Z	0.098	0.088	0.087
2019-07-04T09:45:00Z	0.092	0.088	0.092
2019-07-04T10:00:00Z	0.099	0.093	NA
2019-07-04T10:15:00Z	0.092	0.094	NA
2019-07-04T10:30:00Z	0.098	0.087	0.089
2019-07-04T10:45:00Z	0.09	0.092	0.098
2019-07-04T11:00:00Z	0.093	0.098	0.089
2019-07-04T11:15:00Z	0.091	0.09	0.093
2019-07-04T11:30:00Z	0.096	0.093	0.091
2019-07-04T11:45:00Z	0.094	0.088	0.094
2019-07-04T12:00:00Z	0.094	0.092	0.086
2019-07-04T12:15:00Z	0.091	0.095	0.087
2019-07-04T12:30:00Z	0.099	0.087	0.091
2019-07-04T12:45:00Z	0.096	0.089	NA
2019-07-04T13:00:00Z	0.091	0.092	NA
2019-07-04T13:15:00Z	0.098	0.09	0.098
2019-07-04T13:30:00Z	0.091	0.093	0.095
2019-07-04T13:45:00Z	0.095	0.092	0.091
2019-07-04T14:00:00Z	0.094	0.088	0.088
2019-07-04T14:15:00Z	0.09	0.094	0.094
2019-07-04T14:30:00Z	0.098	0.09	0.091
2019-07-04T14:45:00Z	0.096	0.088	0.097
2019-07-04T15:00:00Z	0.093	0.093	0.087
2019-07-04T15:15:00Z	0.094	0.092	0.091
2019-07-04T15:30:00Z	0.093	0.091	0.088
2019-07-04T15:45:00Z	0.095	0.089	0.084
2019-07-04T16:00:00Z	0.091	0.092	0.086
2019-07-04T16:15:00Z	0.093	0.089	0.091
2019-07-04T16:30:00Z	0.093	0.088	0.086
2019-07-04T16:45:00Z	0.094	0.089	0.092
2019-07-04T17:00:00Z	0.098	0.093	0.089
2019-07-04T17:15:00Z	0.093	0.093	0.091
2019-07-04T17:30:00Z	0.093	0.092	0.087
2019-07-04T17:45:00Z	0.094	0.089	0.088
2019-07-04T18:00:00Z	0.095	0.092	0.096
2019-07-04T18:15:00Z	0.095	0.091	0.091
2019-07-04T18:30:00Z	0.095	0.09	0.088
2019-07-04T18:45:00Z	0.094	0.093	0.093
2019-07-04T19:00:00Z	0.092	0.093	0.092
2019-07-04T19:15:00Z	0.093	0.09	0.091
2019-07-04T19:30:00Z	0.095	0.09	0.086
2019-07-04T19:45:00Z	0.094	0.09	0.098
2019-07-04T20:00:00Z	0.093	0.088	0.093
2019-07-04T20:15:00Z	0.096	0.093	0.093
2019-07-04T20:30:00Z	0.093	0.093	0.091
2019-07-04T20:45:00Z	0.093	0.091	0.091
2019-07-04T21:00:00Z	0.095	0.093	0.088
2019-07-04T21:15:00Z	0.089	0.092	0.088
2019-07-04T21:30:00Z	0.096	0.09	0.091
2019-07-04T21:45:00Z	0.093	0.092	0.089
2019-07-04T22:00:00Z	0.094	0.095	0.089
2019-07-04T22:15:00Z	0.094	0.092	0.095
2019-07-04T22:30:00Z	0.092	0.091	0.088
2019-07-04T22:45:00Z	0.093	0.094	0.085
2019-07-04T23:00:00Z	0.095	0.092	0.092
2019-07-04T23:15:00Z	0.096	0.089	0.087
2019-07-04T23:30:00Z	0.092	0.093	0.086
2019-07-04T23:45:00Z	0.091	0.093	0.085
2019-07-05T00:00:00Z	0.093	0.088	0.09
2019-07-05T00:15:00Z	0.09	0.092	0.091
2019-07-05T00:30:00Z	0.091	0.09	0.09
2019-07-05T00:45:00Z	0.094	0.092	0.095
2019-07-05T01:00:00Z	0.09	0.091	0.091
2019-07-05T01:15:00Z	0.094	0.093	0.09
2019-07-05T01:30:00Z	0.093	0.089	0.09
2019-07-05T01:45:00Z	0.094	0.092	0.09
2019-07-05T02:00:00Z	0.092	0.09	0.085
2019-07-05T02:15:00Z	0.094	0.086	0.096
2019-07-05T02:30:00Z	0.092	0.089	0.094
2019-07-05T02:45:00Z	0.093	0.089	0.091
2019-07-05T03:00:00Z	0.093	0.089	0.093
2019-07-05T03:15:00Z	0.092	0.091	0.091
2019-07-05T03:30:00Z	0.094	0.09	0.095
2019-07-05T03:45:00Z	0.091	0.09	0.092
2019-07-05T04:00:00Z	0.093	0.091	0.091
2019-07-05T04:15:00Z	0.092	0.09	0.089
2019-07-05T04:30:00Z	0.09	0.091	0.085
2019-07-05T04:45:00Z	0.096	0.089	0.086
2019-07-05T05:00:00Z	0.094	0.094	0.094
2019-07-05T05:15:00Z	0.093	0.093	0.086
2019-07-05T05:30:00Z	0.093	0.093	0.093
2019-07-05T05:45:00Z	0.095	0.092	0.094
2019-07-05T06:00:00Z	0.097	0.086	0.092
2019-07-05T06:15:00Z	0.09	0.089	0.085
2019-07-05T06:30:00Z	0.093	0.091	0.087
2019-07-05T06:45:00Z	0.096	0.091	0.085
2019-07-05T07:00:00Z	0.091	0.088	0.091
2019-07-05T07:15:00Z	0.09	0.089	0.085
2019-07-05T07:30:00Z	0.09	0.089	0.086
2019-07-05T07:45:00Z	0.091	0.092	0.091
2019-07-05T08:00:00Z	0.09	0.087	0.095
2019-07-05T08:15:00Z	0.095	0.093	0.088
2019-07-05T08:30:00Z	0.091	0.091	0.087
2019-07-05T08:45:00Z	0.091	0.093	0.092
2019-07-05T09:00:00Z	0.097	0.094	0.095
2019-07-05T09:15:00Z	0.092	0.094	0.087
2019-07-05T09:30:00Z	0.092	0.094	0.096
2019-07-05T09:45:00Z	0.095	0.092	0.096
2019-07-05T10:00:00Z	0.093	0.091	0.092
2019-07-05T10:15:00Z	0.091	0.091	0.087
2019-07-05T10:30:00Z	0.091	0.091	0.093
2019-07-05T10:45:00Z	0.096	0.094	0.092
2019-07-05T11:00:00Z	0.093	0.09	0.1
2019-07-05T11:15:00Z	0.095	0.087	0.086
2019-07-05T11:30:00Z	0.096	0.093	0.088
2019-07-05T11:45:00Z	0.094	0.088	0.093
2019-07-05T12:00:00Z	0.092	0.092	0.091
2019-07-05T12:15:00Z	0.089	0.093	0.087
2019-07-05T12:30:00Z	0.094	0.089	0.093
2019-07-05T12:45:00Z	0.098	0.092	0.089
2019-07-05T13:00:00Z	0.096	0.091	0.087
2019-07-05T13:15:00Z	0.096	0.089	0.095
2019-07-05T13:30:00Z	0.094	0.089	0.086
2019-07-05T13:45:00Z	0.091	0.089	0.093
2019-07-05T14:00:00Z	0.092	0.088	0.091
2019-07-05T14:15:00Z	0.091	0.093	0.09
2019-07-05T14:30:00Z	0.093	0.092	0.095
2019-07-05T14:45:00Z	0.097	0.091	0.088
2019-07-05T15:00:00Z	0.096	0.092	0.087
2019-07-05T15:15:00Z	0.09	0.089	0.092
2019-07-05T15:30:00Z	0.093	0.092	0.091
2019-07-05T15:45:00Z	0.097	0.089	0.094
2019-07-05T16:00:00Z	0.089	0.094	0.086
2019-07-05T16:15:00Z	0.093	0.093	0.095
2019-07-05T16:30:00Z	0.093	0.09	0.094
2019-07-05T16:45:00Z	0.093	0.089	0.089
2019-07-05T17:00:00Z	0.093	0.086	0.086
2019-07-05T17:15:00Z	0.094	0.09	0.092
2019-07-05T17:30:00Z	0.094	0.088	0.091
2019-07-05T17:45:00Z	0.092	0.089	0.086
2019-07-05T18:00:00Z	0.094	0.087	0.092
2019-07-05T18:15:00Z	0.095	0.092	0.093
2019-07-05T18:30:00Z	0.089	0.096	0.089
2019-07-05T18:45:00Z	0.096	0.087	0.088
2019-07-05T19:00:00Z	0.089	0.088	0.097
2019-07-05T19:15:00Z	0.093	0.088	0.086
2019-07-05T19:30:00Z	0.09	0.088	0.081
2019-07-05T19:45:00Z	0.095	0.09	0.092
2019-07-05T20:00:00Z	0.094	0.092	0.09
2019-07-05T20:15:00Z	0.091	0.094	0.093
2019-07-05T20:30:00Z	0.096	0.095	0.089
2019-07-05T20:45:00Z	0.095	0.093	0.088
2019-07-05T21:00:00Z	0.092	0.089	0.088
2019-07-05T21:15:00Z	0.092	0.094	0.092
2019-07-05T21:30:00Z	0.092	0.088	0.091
2019-07-05T21:45:00Z	0.093	0.089	0.091
2019-07-05T22:00:00Z	0.095	0.09	0.089
2019-07-05T22:15:00Z	0.092	0.091	0.09
2019-07-05T22:30:00Z	0.089	0.091	0.092
2019-07-05T22:45:00Z	0.094	0.089	0.085
2019-07-05T23:00:00Z	0.092	0.089	0.083
2019-07-05T23:15:00Z	0.092	0.088	0.086
2019-07-05T23:30:00Z	0.093	0.091	0.085
2019-07-05T23:45:00Z	0.092	0.093	0.089
2019-07-06T00:00:00Z	0.093	0.089	0.089
2019-07-06T00:15:00Z	0.094	0.089	0.088
2019-07-06T00:30:00Z	0.094	0.091	0.088
2019-07-06T00:45:00Z	0.092	0.089	0.089
2019-07-06T01:00:00Z	0.09	0.091	0.091
2019-07-06T01:15:00Z	0.093	0.088	0.086
2019-07-06T01:30:00Z	0.091	0.092	0.092
2019-07-06T01:45:00Z	0.091	0.092	0.089
2019-07-06T02:00:00Z	0.092	0.091	0.09
2019-07-06T02:15:00Z	0.094	0.093	0.089
2019-07-06T02:30:00Z	0.092	0.09	0.085
2019-07-06T02:45:00Z	0.094	0.093	0.093
2019-07-06T03:00:00Z	0.092	0.091	0.09
2019-07-06T03:15:00Z	0.093	0.093	0.094
2019-07-06T03:30:00Z	0.092	0.088	0.088
2019-07-06T03:45:00Z	0.092	0.093	0.085
2019-07-06T04:00:00Z	0.089	0.092	0.087
2019-07-06T04:15:00Z	0.094	0.09	0.086
2019-07-06T04:30:00Z	0.095	0.092	0.092
2019-07-06T04:45:00Z	0.092	0.091	0.088
2019-07-06T05:00:00Z	0.09	0.091	0.094
2019-07-06T05:15:00Z	0.091	0.09	0.094
2019-07-06T05:30:00Z	0.091	0.089	0.092
2019-07-06T05:45:00Z	0.092	0.091	0.088
2019-07-06T06:00:00Z	0.091	0.091	0.088
2019-07-06T06:15:00Z	0.092	0.09	0.097
2019-07-06T06:30:00Z	0.091	0.091	0.09
2019-07-06T06:45:00Z	0.093	0.089	0.095
2019-07-06T07:00:00Z	0.094	0.087	0.089
2019-07-06T07:15:00Z	0.09	0.089	0.09
2019-07-06T07:30:00Z	0.095	0.088	0.087
2019-07-06T07:45:00Z	0.093	0.088	0.094
2019-07-06T08:00:00Z	0.09	0.088	0.086
2019-07-06T08:15:00Z	0.09	0.092	0.085
2019-07-06T08:30:00Z	0.093	0.086	NA
2019-07-06T08:45:00Z	0.092	0.088	0.091
2019-07-06T09:00:00Z	0.095	0.087	0.095
